Id|Description|DegreeId|LastModified|Created|Status
1|Administración de Negocios Internacionales|3|2018-07-12 23:10:34.12201|2018-07-12 23:10:34.12201|t
2|Contabilidad|3|2018-07-12 23:10:34.123302|2018-07-12 23:10:34.123302|t
3|Maestría en Administración de Negocios (MBA Internacional)|5|2018-07-12 23:10:34.124205|2018-07-12 23:10:34.124205|t
4|Maestría en Gestión de Tecnologías de la Información|5|2018-07-12 23:10:34.125053|2018-07-12 23:10:34.125053|t
5|Maestría en Derecho de la Empresa|5|2018-07-12 23:10:34.125891|2018-07-12 23:10:34.125891|t
6|Maestría en Gestión Minera y Ambiental|5|2018-07-12 23:10:34.126718|2018-07-12 23:10:34.126718|t
