Id|Description|DegreeId|LastModified|Created|Status
1|Administración de Negocios Internacionales|3|2018-07-08 19:57:43.000|2018-07-08 19:57:43.000|1
2|Contabilidad|3|2018-07-08 19:57:43.000|2018-07-08 19:57:43.000|1
3|Maestría en Administración de Negocios (MBA Internacional)|5|2018-07-08 19:57:43.000|2018-07-08 19:57:43.000|1
4|Maestría en Gestión de Tecnologías de la Información|5|2018-07-08 19:57:43.000|2018-07-08 19:57:43.000|1
5|Maestría en Derecho de la Empresa|5|2018-07-08 19:57:43.000|2018-07-08 19:57:43.000|1
6|Maestría en Gestión Minera y Ambiental|5|2018-07-08 19:57:43.000|2018-07-08 19:57:43.000|1
